Date,Close/Last,Volume,Open,High,Low
10/01/2025,$164.01,39895180,$160.93,$164.18,$160.49
09/30/2025,$161.79,29669330,$160.795,$162.28,$159.33
09/29/2025,$161.36,39828790,$160.12,$164.30,$159.90
09/26/2025,$159.46,30316930,$160.52,$162.11,$157.05
09/25/2025,$161.27,36809880,$157.135,$161.63,$154.7798
09/24/2025,$160.88,38464120,$162.98,$165.10,$158.43
09/23/2025,$160.90,39448320,$160.52,$163.39,$159.21
09/22/2025,$159.79,46505480,$157.42,$162.68,$157.42
09/19/2025,$157.39,55448080,$157.38,$159.84,$155.90
09/18/2025,$157.92,84549470,$150.96,$158.7699,$149.85
09/17/2025,$159.16,41823840,$159.28,$161.63,$155.76
09/16/2025,$160.46,27946480,$161.37,$161.95,$159.22
09/15/2025,$161.16,36808730,$160.01,$162.30,$157.6012
09/12/2025,$158.57,42232780,$157.00,$160.41,$154.92
09/11/2025,$155.67,48817720,$158.62,$160.21,$154.99
09/10/2025,$159.54,52465270,$163.54,$164.525,$158.00
09/09/2025,$155.82,42802470,$151.99,$156.66,$151.93
09/08/2025,$151.41,41849000,$151.80,$152.6388,$149.22
09/05/2025,$151.14,78255950,$157.12,$157.14,$150.18
09/04/2025,$161.79,32103500,$159.935,$162.05,$157.79
09/03/2025,$162.13,30752790,$161.81,$164.75,$160.58
09/02/2025,$162.32,38656130,$158.42,$162.3916,$156.62
