Date,Close/Last,Volume,Open,High,Low
10/01/2025,$182.78,14966890,$179.98,$183.08,$178.87
09/30/2025,$178.73,18681540,$181.66,$182.15,$177.10
09/29/2025,$179.90,21576310,$178.08,$181.344,$177.59
09/26/2025,$171.91,15971140,$172.17,$172.76,$169.70
09/25/2025,$175.47,20712240,$173.40,$175.77,$170.435
09/24/2025,$176.44,52642310,$175.98,$180.16,$175.00
09/23/2025,$163.08,18278590,$165.01,$167.83,$162.80
09/22/2025,$164.25,18667750,$163.76,$167.435,$163.0301
09/19/2025,$162.81,18183220,$164.69,$166.25,$162.61
09/18/2025,$162.48,19529560,$162.50,$164.79,$161.30
09/17/2025,$166.17,29344350,$166.00,$167.32,$163.26
09/16/2025,$162.21,26017690,$158.36,$163.00,$157.59
09/15/2025,$158.04,23567200,$159.09,$159.70,$156.73
09/12/2025,$155.06,20903290,$154.07,$155.46,$152.06
09/11/2025,$155.44,50089160,$148.12,$156.8486,$147.86
09/10/2025,$143.93,21079910,$145.42,$145.92,$143.23
09/09/2025,$147.10,32792260,$145.40,$148.00,$144.65
09/08/2025,$141.20,20095290,$139.88,$141.22,$138.7685
09/05/2025,$135.58,19202470,$135.03,$135.61,$132.70
09/04/2025,$130.92,24730940,$133.16,$134.25,$130.06
09/03/2025,$136.45,16470530,$136.70,$137.77,$135.58
09/02/2025,$138.55,41625380,$134.47,$138.83,$133.06
