Date,Close/Last,Volume,Open,High,Low
10/01/2025,$220.63,43933830,$217.36,$222.15,$216.61
09/30/2025,$219.57,48396370,$222.03,$222.24,$217.89
09/29/2025,$222.17,44259180,$220.08,$222.60,$219.30
09/26/2025,$219.78,41650100,$219.08,$221.05,$218.02
09/25/2025,$218.15,52226330,$220.06,$220.67,$216.47
09/24/2025,$220.21,49509030,$224.15,$224.56,$219.45
09/23/2025,$220.71,70956190,$227.83,$227.86,$220.07
09/22/2025,$227.63,45914510,$230.56,$230.565,$227.51
09/19/2025,$231.48,97943170,$232.37,$234.16,$229.70
09/18/2025,$231.23,37931740,$232.50,$233.48,$228.79
09/17/2025,$231.62,42815230,$233.77,$234.30,$228.71
09/16/2025,$234.05,38203910,$232.935,$235.90,$232.23
09/15/2025,$231.43,33243330,$230.625,$233.73,$230.32
09/12/2025,$228.15,38496220,$230.35,$230.79,$226.29
09/11/2025,$229.95,37485600,$231.49,$231.53,$229.3377
09/10/2025,$230.33,60907710,$237.515,$237.68,$229.0962
09/09/2025,$238.24,27033780,$236.355,$238.85,$235.08
09/08/2025,$235.84,33947100,$234.94,$237.60,$233.75
09/05/2025,$232.33,36721800,$235.19,$236.00,$231.93
09/04/2025,$235.68,59391780,$231.185,$235.77,$230.78
09/03/2025,$225.99,29223130,$225.21,$227.1699,$224.36
09/02/2025,$225.34,38843880,$223.52,$226.17,$221.83
