Date,Close/Last,Volume,Open,High,Low
10/01/2025,$255.45,48713940,$255.04,$258.79,$254.93
09/30/2025,$254.63,37704260,$254.855,$255.919,$253.11
09/29/2025,$254.43,40127690,$254.56,$255.00,$253.01
09/26/2025,$255.46,46076260,$254.095,$257.60,$253.78
09/25/2025,$256.87,55202080,$253.205,$257.17,$251.712
09/24/2025,$252.31,42303710,$255.22,$255.74,$251.04
09/23/2025,$254.43,60275190,$255.875,$257.34,$253.58
09/22/2025,$256.08,105517400,$248.30,$256.64,$248.12
09/19/2025,$245.50,163741300,$241.225,$246.30,$240.2106
09/18/2025,$237.88,44249580,$239.97,$241.20,$236.65
09/17/2025,$238.99,46508020,$238.97,$240.10,$237.7301
09/16/2025,$238.15,63421100,$237.175,$241.22,$236.3235
09/15/2025,$236.70,42699520,$237.00,$238.19,$235.03
09/12/2025,$234.07,55824220,$229.22,$234.51,$229.02
09/11/2025,$230.03,50208580,$226.875,$230.45,$226.65
09/10/2025,$226.79,83440810,$232.185,$232.42,$225.95
09/09/2025,$234.35,66313920,$237.00,$238.7805,$233.36
09/08/2025,$237.88,48999500,$239.30,$240.15,$236.34
09/05/2025,$239.69,54870400,$239.995,$241.32,$238.4901
09/04/2025,$239.78,47549430,$238.45,$239.8999,$236.74
09/03/2025,$238.47,66427840,$237.21,$238.85,$234.36
09/02/2025,$229.72,44075640,$229.25,$230.85,$226.97
