Date,Close/Last,Volume,Open,High,Low
10/01/2025,$68.75,15530720,$67.90,$68.82,$67.69
09/30/2025,$68.42,20498940,$67.705,$68.77,$67.69
09/29/2025,$67.72,14358250,$67.715,$67.95,$67.44
09/26/2025,$67.22,15077410,$67.87,$67.91,$66.85
09/25/2025,$67.85,22351680,$67.32,$68.235,$67.1101
09/24/2025,$67.32,17433100,$67.70,$67.865,$66.89
09/23/2025,$67.54,22240010,$67.58,$68.22,$67.07
09/22/2025,$67.75,20396680,$67.86,$68.00,$67.30
09/19/2025,$68.21,47822500,$68.92,$68.92,$67.1802
09/18/2025,$68.68,20279010,$67.90,$68.76,$67.48
09/17/2025,$67.72,18652120,$67.00,$67.88,$66.38
09/16/2025,$66.93,18019320,$67.02,$67.38,$66.55
09/15/2025,$67.02,16203090,$66.505,$67.20,$66.345
09/12/2025,$66.53,18529180,$66.88,$67.34,$66.13
09/11/2025,$67.69,17560790,$68.31,$68.57,$67.505
09/10/2025,$68.13,14689480,$67.59,$68.32,$67.12
09/09/2025,$67.34,11649370,$66.74,$67.435,$66.64
09/08/2025,$66.88,14038020,$66.72,$67.005,$66.35
09/05/2025,$66.90,21050790,$67.715,$68.10,$66.48
09/04/2025,$67.99,14388530,$68.10,$68.41,$67.41
09/03/2025,$67.67,14320140,$68.045,$68.13,$67.33
09/02/2025,$67.80,18928840,$68.105,$68.32,$67.38
