Date,Close/Last,Volume,Open,High,Low
10/01/2025,$286.49,4381338,$280.20,$286.59,$280.15
09/30/2025,$282.16,5926924,$280.88,$286.025,$280.52
09/29/2025,$279.80,6022125,$286.00,$286.00,$279.66
09/26/2025,$284.31,9063938,$280.51,$288.85,$280.11
09/25/2025,$281.44,11506190,$272.935,$284.23,$271.148
09/24/2025,$267.53,3159924,$272.62,$273.6499,$267.30
09/23/2025,$272.24,5394121,$272.70,$273.2962,$269.265
09/22/2025,$271.37,5030540,$266.62,$272.31,$266.00
09/19/2025,$266.40,9858112,$266.05,$267.87,$263.64
09/18/2025,$265.00,4988421,$258.86,$265.23,$256.8004
09/17/2025,$259.08,3974785,$257.495,$260.9644,$257.01
09/16/2025,$257.52,2719918,$256.26,$258.00,$254.41
09/15/2025,$256.24,4028365,$254.02,$259.05,$254.00
09/12/2025,$253.44,3433300,$256.95,$257.25,$252.425
09/11/2025,$257.01,3576048,$257.56,$258.545,$255.655
09/10/2025,$256.88,5185420,$259.65,$260.08,$254.56
09/09/2025,$259.11,4931105,$256.12,$260.66,$254.88
09/08/2025,$256.09,6940270,$248.63,$257.15,$247.02
09/05/2025,$248.53,3147478,$248.23,$249.03,$245.45
09/04/2025,$247.18,4765087,$245.42,$249.28,$242.85
09/03/2025,$244.10,3163225,$240.02,$244.25,$239.41
09/02/2025,$241.50,3469501,$240.90,$241.55,$238.25
