Date,Close/Last,Volume,Open,High,Low
10/01/2025,$717.34,20419630,$721.49,$721.8499,$710.20
09/30/2025,$734.38,16226750,$742.25,$742.97,$726.30
09/29/2025,$743.40,9246768,$748.72,$750.78,$739.15
09/26/2025,$743.75,9696338,$750.00,$751.9299,$737.3532
09/25/2025,$748.91,10591070,$753.45,$756.765,$744.55
09/24/2025,$760.66,8828227,$757.50,$761.11,$752.5251
09/23/2025,$755.40,10872590,$769.25,$770.60,$751.07
09/22/2025,$765.16,11706950,$781.845,$785.73,$764.47
09/19/2025,$778.38,23696820,$786.42,$790.80,$769.1901
09/18/2025,$780.25,10954950,$780.75,$788.78,$773.36
09/17/2025,$775.715,9400867,$779.99,$783.29,$766.31
09/16/2025,$779.00,11782480,$767.00,$781.36,$765.10
09/15/2025,$764.70,10533780,$757.47,$774.07,$751.985
09/12/2025,$755.59,8248557,$748.725,$757.5703,$743.76
09/11/2025,$750.90,7923284,$754.65,$757.10,$748.37
09/10/2025,$751.98,12478280,$765.13,$765.70,$751.00
09/09/2025,$765.70,10999030,$757.49,$766.30,$753.43
09/08/2025,$752.30,13087820,$755.995,$766.51,$752.02
09/05/2025,$752.45,9663441,$752.615,$757.95,$745.03
09/04/2025,$748.65,11439080,$748.57,$761.16,$745.82
09/03/2025,$737.05,7699332,$736.00,$740.25,$733.9893
09/02/2025,$735.11,9350857,$726.04,$736.00,$721.7306
