Date,Close/Last,Volume,Open,High,Low
10/01/2025,$519.71,22632340,$514.80,$520.505,$511.69
09/30/2025,$517.95,19728230,$513.24,$518.16,$509.66
09/29/2025,$514.60,17617780,$511.50,$516.845,$508.88
09/26/2025,$511.46,16213130,$510.06,$513.94,$506.62
09/25/2025,$507.03,15786470,$508.30,$510.01,$505.04
09/24/2025,$510.15,13533710,$510.38,$512.48,$506.92
09/23/2025,$509.23,19799580,$513.80,$514.5899,$507.31
09/22/2025,$514.45,20009310,$515.59,$517.74,$512.545
09/19/2025,$517.93,52474090,$510.56,$519.30,$510.31
09/18/2025,$508.45,18913700,$511.49,$513.07,$507.66
09/17/2025,$510.02,15816590,$510.62,$511.29,$505.93
09/16/2025,$509.04,19711920,$516.88,$517.23,$508.60
09/15/2025,$515.36,17143790,$508.79,$515.47,$507.00
09/12/2025,$509.90,23624880,$506.65,$512.55,$503.85
09/11/2025,$501.01,18881610,$502.25,$503.17,$497.88
09/10/2025,$500.37,21611820,$502.98,$503.2299,$496.72
09/09/2025,$498.41,14410540,$501.43,$502.25,$497.70
09/08/2025,$498.20,16771020,$498.105,$501.195,$495.03
09/05/2025,$495.00,31994850,$509.07,$511.97,$492.37
09/04/2025,$507.97,15509490,$504.30,$508.15,$503.15
09/03/2025,$505.35,16345080,$503.79,$507.79,$502.32
09/02/2025,$505.12,18128000,$500.465,$506.00,$496.81
