Date,Close/Last,Open,High,Low
10/01/2025,22755.16,22530.95,22782.58,22516.74
09/30/2025,22660.01,22580.36,22671.39,22493.96
09/29/2025,22591.15,22605.30,22704.90,22536.06
09/26/2025,22484.07,22403.27,22488.18,22285.44
09/25/2025,22384.70,22318.77,22456.78,22185.87
09/24/2025,22497.85,22656.02,22657.45,22397.00
09/23/2025,22573.47,22782.72,22785.13,22539.04
09/22/2025,22788.98,22606.59,22801.90,22590.86
09/19/2025,22631.48,22554.32,22645.11,22497.71
09/18/2025,22470.73,22439.11,22540.93,22358.49
09/17/2025,22261.33,22333.02,22339.54,22058.92
09/16/2025,22333.96,22397.50,22397.50,22308.78
09/15/2025,22348.75,22243.20,22352.25,22233.00
09/12/2025,22141.10,22078.63,22182.34,22031.62
09/11/2025,22043.07,21977.51,22059.71,21908.81
09/10/2025,21886.06,21980.60,22000.97,21810.84
09/09/2025,21879.49,21858.17,21891.42,21731.48
09/08/2025,21798.70,21806.22,21885.62,21776.24
09/05/2025,21700.39,21860.44,21878.81,21534.73
09/04/2025,21707.69,21539.91,21711.96,21469.40
09/03/2025,21497.73,21461.63,21553.98,21370.98
09/02/2025,21279.63,21086.58,21293.69,21033.05
