Date,Close/Last,Volume,Open,High,Low
10/01/2025,$1170.90,4110221,$1175.49,$1179.14,$1163.21
09/30/2025,$1198.92,3830304,$1206.41,$1208.50,$1178.00
09/29/2025,$1206.41,3033174,$1205.00,$1224.49,$1187.54
09/26/2025,$1210.61,1944957,$1205.42,$1214.00,$1200.00
09/25/2025,$1208.24,1997783,$1203.09,$1216.84,$1191.51
09/24/2025,$1203.95,2773127,$1218.61,$1221.50,$1194.20
09/23/2025,$1218.47,2499146,$1227.33,$1227.79,$1208.47
09/22/2025,$1227.37,2546814,$1221.90,$1229.76,$1214.2432
09/19/2025,$1226.97,4947590,$1218.62,$1229.9499,$1208.10
09/18/2025,$1207.78,3169105,$1220.82,$1233.00,$1205.50
09/17/2025,$1228.50,3459796,$1221.02,$1233.93,$1206.605
09/16/2025,$1200.51,2404686,$1205.64,$1208.9999,$1197.28
09/15/2025,$1202.26,2909277,$1188.40,$1207.24,$1173.2076
09/12/2025,$1188.44,3784944,$1203.055,$1211.78,$1182.40
09/11/2025,$1203.50,5682286,$1251.00,$1253.445,$1192.00
09/10/2025,$1247.71,2701015,$1263.975,$1267.00,$1246.355
09/09/2025,$1263.25,2219655,$1246.67,$1265.721,$1246.67
09/08/2025,$1244.76,1915053,$1248.54,$1252.0405,$1232.00
09/05/2025,$1243.82,2379673,$1260.00,$1267.10,$1239.0201
09/04/2025,$1257.48,3023506,$1223.20,$1257.48,$1223.09
09/03/2025,$1226.18,2471495,$1205.14,$1226.9999,$1203.38
09/02/2025,$1214.11,2303269,$1197.00,$1215.40,$1182.80
