Date,Close/Last,Volume,Open,High,Low
10/01/2025,$187.24,173844900,$185.24,$188.14,$183.90
09/30/2025,$186.58,236981000,$182.08,$187.35,$181.48
09/29/2025,$181.85,193063500,$180.425,$184.00,$180.32
09/26/2025,$178.19,148573700,$178.17,$179.77,$174.93
09/25/2025,$177.69,191586700,$174.48,$180.26,$173.125
09/24/2025,$176.97,143564100,$179.77,$179.78,$175.40
09/23/2025,$178.43,192559600,$181.97,$182.42,$176.21
09/22/2025,$183.61,269637000,$175.30,$184.55,$174.7053
09/19/2025,$176.67,237182100,$175.77,$178.08,$175.18
09/18/2025,$176.24,191763300,$173.98,$177.10,$172.96
09/17/2025,$170.29,211843800,$172.64,$173.20,$168.41
09/16/2025,$174.88,140737800,$177.00,$177.50,$174.38
09/15/2025,$177.75,147061600,$175.67,$178.85,$174.51
09/12/2025,$177.82,124911000,$177.77,$178.595,$176.45
09/11/2025,$177.17,151159300,$179.68,$180.28,$176.48
09/10/2025,$177.33,226852000,$176.64,$179.29,$175.47
09/09/2025,$170.76,157548400,$169.09,$170.98,$166.7401
09/08/2025,$168.31,163769100,$167.55,$170.96,$167.35
09/05/2025,$167.02,224441400,$168.03,$169.03,$164.07
09/04/2025,$171.66,141670100,$170.57,$171.86,$169.41
09/03/2025,$170.62,164424900,$171.06,$172.41,$168.875
09/02/2025,$170.78,231164900,$170.00,$172.379,$167.22
