Date,Close/Last,Volume,Open,High,Low
10/01/2025,$289.01,23378320,$278.80,$289.99,$277.88
09/30/2025,$281.24,23880810,$283.69,$284.00,$275.90
09/29/2025,$282.76,25778510,$284.60,$285.98,$279.61
09/26/2025,$283.46,25990690,$293.00,$294.00,$283.00
09/25/2025,$291.33,39274880,$295.27,$298.75,$288.55
09/24/2025,$308.46,33765280,$311.86,$312.47,$300.03
09/23/2025,$313.83,35280200,$324.00,$325.00,$310.05
09/22/2025,$328.15,44437550,$309.63,$329.50,$306.92
09/19/2025,$308.66,40776200,$299.00,$311.11,$297.32
09/18/2025,$296.62,24673120,$303.035,$303.82,$292.00
09/17/2025,$301.41,27707950,$307.69,$308.66,$295.03
09/16/2025,$306.65,51923270,$314.06,$319.97,$302.2724
09/15/2025,$302.14,40004000,$306.45,$307.03,$297.29
09/12/2025,$292.18,51781910,$305.79,$307.97,$291.75
09/11/2025,$307.86,69986030,$330.34,$331.00,$304.60
09/10/2025,$328.33,131618100,$319.19,$345.72,$312.09
09/09/2025,$241.51,41178700,$239.94,$243.49,$234.56
09/08/2025,$238.48,18803050,$239.89,$242.42,$235.31
09/05/2025,$232.80,15386100,$232.55,$234.62,$225.885
09/04/2025,$223.00,10303070,$222.00,$223.57,$219.5601
09/03/2025,$223.45,8900813,$225.90,$225.90,$221.75
09/02/2025,$225.30,10461900,$222.00,$225.45,$218.79
