Date,Close/Last,Volume,Open,High,Low
10/01/2025,$184.95,45717300,$181.32,$186.28,$179.50
09/30/2025,$182.42,43561730,$178.98,$182.77,$178.22
09/29/2025,$178.86,38413750,$179.64,$181.48,$177.16
09/26/2025,$177.57,44275790,$179.05,$180.12,$174.91
09/25/2025,$179.12,72321190,$175.80,$184.32,$174.29
09/24/2025,$179.56,45379670,$183.91,$184.85,$177.12
09/23/2025,$182.55,62354830,$182.51,$185.75,$177.01
09/22/2025,$179.33,45916680,$180.88,$182.25,$178.29
09/19/2025,$182.39,109129900,$177.07,$184.42,$176.71
09/18/2025,$176.97,70768630,$170.27,$178.80,$169.39
09/17/2025,$168.33,69255500,$169.02,$169.68,$161.27
09/16/2025,$170.26,34598660,$171.04,$171.31,$168.96
09/15/2025,$171.21,45396120,$169.60,$171.80,$167.41
09/12/2025,$171.43,54498540,$165.35,$171.53,$164.01
09/11/2025,$164.36,42025500,$167.24,$167.458,$163.22
09/10/2025,$166.74,62211420,$166.00,$169.00,$163.44
09/09/2025,$162.36,61359530,$157.25,$162.75,$156.37
09/08/2025,$156.10,47642950,$154.91,$158.30,$154.84
09/05/2025,$153.11,81855900,$157.82,$158.97,$148.04
09/04/2025,$156.14,53292340,$154.865,$157.04,$153.16
09/03/2025,$154.90,66052300,$158.00,$161.15,$152.71
09/02/2025,$157.09,65434970,$151.20,$158.39,$150.28
