Date,Close/Last,Volume,Open,High,Low
10/01/2025,$235.69,10016630,$236.49,$242.47,$233.51
09/30/2025,$237.00,10801100,$245.05,$245.21,$235.81
09/29/2025,$245.10,6373506,$244.72,$245.82,$242.87
09/26/2025,$243.43,4974641,$240.69,$244.53,$240.35
09/25/2025,$240.95,8145495,$244.50,$244.66,$239.485
09/24/2025,$245.89,6707081,$245.665,$248.8412,$243.01
09/23/2025,$244.56,7669787,$249.74,$251.36,$244.13
09/22/2025,$249.69,7523794,$245.28,$250.48,$243.16
09/19/2025,$247.09,11813950,$246.02,$247.20,$243.35
09/18/2025,$244.28,9344384,$244.155,$247.29,$242.95
09/17/2025,$242.21,10123960,$239.97,$243.00,$239.38
09/16/2025,$239.31,8779787,$242.52,$242.68,$237.24
09/15/2025,$242.52,7244575,$243.25,$244.71,$240.84
09/12/2025,$242.76,8386354,$246.095,$247.5888,$241.25
09/11/2025,$246.28,6944891,$243.70,$247.17,$243.50
09/10/2025,$242.57,11363640,$252.75,$253.99,$241.73
09/09/2025,$252.06,10901940,$251.32,$255.34,$251.21
09/08/2025,$252.27,12602240,$250.80,$252.935,$247.30
09/05/2025,$250.76,13029440,$244.83,$251.13,$244.36
09/04/2025,$244.01,30967510,$240.06,$245.22,$234.62
09/03/2025,$256.45,17417950,$255.06,$258.00,$250.545
09/02/2025,$252.86,9312525,$254.82,$254.99,$248.75
