Date,Close/Last,Volume,Open,High,Low
10/01/2025,$28.74,2947264,$28.79,$29.01,$28.73
09/30/2025,$28.79,3455065,$28.71,$28.80,$28.54
09/29/2025,$29.10,3049339,$29.04,$29.13,$28.97
09/26/2025,$29.04,5873510,$28.884,$29.3667,$28.806
09/25/2025,$29.0888,4792312,$28.9815,$29.163,$28.7328
09/24/2025,$28.6109,5517438,$28.4744,$28.6889,$28.4354
09/23/2025,$29.0205,3734516,$29.157,$29.157,$28.9717
09/22/2025,$28.9912,3854530,$28.767,$29.0205,$28.7573
09/19/2025,$28.6304,4238955,$28.7475,$28.7523,$28.5632
09/18/2025,$29.3228,4258227,$29.2935,$29.4983,$29.1765
09/17/2025,$28.4354,3240529,$28.2989,$28.5865,$28.177
09/16/2025,$28.1039,2809118,$28.1039,$28.1136,$27.8406
09/15/2025,$28.6109,2900585,$28.6499,$28.7084,$28.4842
09/12/2025,$28.4842,4680754,$28.2794,$28.6743,$28.2404
09/11/2025,$28.4647,4384121,$28.0551,$28.5134,$28.0551
09/10/2025,$27.9381,3934213,$28.1624,$28.2599,$27.8601
09/09/2025,$27.9966,3214315,$28.0356,$28.0697,$27.8698
09/08/2025,$27.9576,4596135,$27.5968,$27.9966,$27.5773
09/05/2025,$26.8849,2620614,$27.0994,$27.1482,$26.7728
09/04/2025,$27.1482,3226232,$26.8557,$27.1726,$26.8362
09/03/2025,$26.3583,3295949,$26.2901,$26.4168,$26.2316
09/02/2025,$26.2803,4919100,$26.134,$26.4071,$25.9304
