Date,Close/Last,Volume,Open,High,Low
10/01/2025,$459.46,98122290,$443.80,$462.29,$440.75
09/30/2025,$444.72,74357960,$441.52,$445.00,$433.12
09/29/2025,$443.21,79491510,$444.35,$450.98,$439.50
09/26/2025,$440.40,101628200,$428.30,$440.47,$421.02
09/25/2025,$423.39,96746430,$435.24,$435.35,$419.08
09/24/2025,$442.79,93133570,$429.83,$444.21,$429.0301
09/23/2025,$425.85,83422690,$439.88,$440.97,$423.72
09/22/2025,$434.21,97108780,$431.11,$444.98,$429.13
09/19/2025,$426.07,93131030,$421.82,$429.47,$421.72
09/18/2025,$416.85,90454510,$428.865,$432.2199,$416.56
09/17/2025,$425.86,106133500,$415.75,$428.3121,$409.67
09/16/2025,$421.62,104285700,$414.495,$423.25,$411.43
09/15/2025,$410.04,163823700,$423.13,$425.70,$402.43
09/12/2025,$395.94,168156400,$370.94,$396.6899,$370.24
09/11/2025,$368.81,103756000,$350.17,$368.99,$347.60
09/10/2025,$347.79,72121680,$350.55,$356.33,$346.07
09/09/2025,$346.97,53815990,$348.44,$350.77,$343.82
09/08/2025,$346.40,75208290,$354.64,$358.44,$344.84
09/05/2025,$350.84,108989800,$348.00,$355.87,$344.6801
09/04/2025,$338.53,60711030,$336.15,$338.89,$331.48
09/03/2025,$334.09,88733290,$335.20,$343.33,$328.51
09/02/2025,$329.36,58391950,$328.23,$333.33,$325.60
