Date,Close/Last,Volume,Open,High,Low
10/01/2025,$96.61,16608460,$97.475,$99.085,$96.57
09/30/2025,$97.97,16793410,$99.59,$99.75,$96.65
09/29/2025,$99.57,16320890,$99.32,$100.26,$98.585
09/26/2025,$98.45,10356140,$97.795,$98.5298,$97.03
09/25/2025,$97.60,11255800,$97.30,$97.87,$95.90
09/24/2025,$97.78,12523370,$98.89,$99.86,$96.93
09/23/2025,$97.80,15101140,$99.86,$100.18,$97.645
09/22/2025,$99.39,29820120,$99.00,$101.99,$98.50
09/19/2025,$98.51,38734980,$95.00,$98.83,$94.90
09/18/2025,$94.70,23075220,$93.93,$95.05,$93.21
09/17/2025,$92.95,44093980,$96.07,$97.24,$92.12
09/16/2025,$97.83,17257930,$99.42,$99.70,$97.02
09/15/2025,$98.85,18652430,$95.80,$98.86,$95.52
09/12/2025,$95.89,13659230,$94.49,$96.27,$93.71
09/11/2025,$94.68,16190070,$94.55,$96.32,$94.00
09/10/2025,$94.21,15944170,$95.51,$96.0997,$93.71
09/09/2025,$95.45,11850200,$94.50,$95.48,$92.77
09/08/2025,$94.36,18906550,$91.38,$94.56,$91.38
09/05/2025,$90.99,20384530,$92.53,$92.53,$88.84
09/04/2025,$91.98,15960140,$93.11,$93.125,$90.93
09/03/2025,$92.94,12052160,$92.75,$94.765,$92.18
09/02/2025,$92.81,12883300,$92.26,$93.537,$91.92
