Date,Close/Last,Volume,Open,High,Low
10/01/2025,$149.68,13611990,$140.91,$149.68,$140.395
09/30/2025,$141.77,9934552,$134.00,$141.77,$134.00
09/29/2025,$133.90,3833449,$132.125,$134.59,$132.125
09/26/2025,$130.76,3841026,$128.01,$131.11,$127.60
09/25/2025,$130.96,4758872,$129.375,$131.2592,$127.1201
09/24/2025,$132.09,3921892,$135.00,$135.50,$131.72
09/23/2025,$134.34,4750827,$136.08,$137.345,$133.25
09/22/2025,$135.69,10255250,$132.62,$137.98,$131.81
09/19/2025,$131.94,9051982,$132.945,$133.9687,$131.94
09/18/2025,$132.11,5528870,$131.965,$133.649,$131.46
09/17/2025,$130.34,8236969,$128.10,$133.00,$127.90
09/16/2025,$127.68,4461322,$127.64,$128.6899,$125.9018
09/15/2025,$126.80,5734417,$126.39,$128.305,$125.01
09/12/2025,$125.04,4365666,$125.90,$127.64,$124.97
09/11/2025,$125.37,6159381,$124.905,$128.76,$124.52
09/10/2025,$124.45,8447197,$123.43,$127.12,$123.42
09/09/2025,$121.29,10704360,$120.87,$121.71,$118.15
09/08/2025,$123.00,5187097,$125.30,$125.605,$122.79
09/05/2025,$124.83,6413059,$127.25,$128.42,$123.28
09/04/2025,$126.67,7053769,$124.03,$127.35,$122.9225
09/03/2025,$124.02,5966804,$121.70,$124.03,$120.90
09/02/2025,$120.96,8969874,$119.11,$121.38,$117.70
